1997	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	15	8	1	5	2	0	100	67	39	1023	1021	1019	10	10	8	14	6	-	0.00	 
2	15	8	2	3	1	-1	87	62	39	1020	1019	1016	10	10	9	14	8	-	0.00	 
3	17	9	2	5	2	0	93	61	34	1016	1009	1003	10	8	4	50	11	76	0.00	Rain
4	6	3	0	2	-2	-5	93	70	49	1016	1011	1007	10	9	0	43	27	61	0.00	Rain , Snow
5	4	1	-1	3	-2	-5	100	84	60	1017	1011	1001	10	8	2	47	24	58	0.00	Rain , Snow
6	7	2	-2	6	-1	-6	100	77	49	1024	1012	998	10	10	2	58	34	84	0.00	Rain , Snow
7	5	0	-4	-5	-8	-13	86	59	26	1033	1030	1025	10	10	10	26	18	43	0.00	 
8	7	1	-4	-6	-11	-15	74	44	21	1033	1032	1031	10	10	10	11	5	-	0.00	 
9	11	6	0	-2	-6	-9	70	46	28	1031	1030	1028	-	-	-	11	6	-	0.00	 
10	13	7	1	2	-1	-3	81	58	33	1028	1025	1022	10	10	10	29	13	35	0.00	 
11	13	7	1	4	0	-7	81	63	47	1022	1012	1005	10	10	5	61	24	90	0.00	Rain , Snow
12	5	2	0	0	-3	-7	100	73	42	1020	1017	1015	10	9	3	35	24	58	0.00	Rain , Snow
13	7	1	-5	-2	-7	-11	87	58	27	1025	1023	1021	10	10	10	11	6	-	0.00	 
14	8	4	1	4	1	-6	87	74	60	1021	1016	1011	10	10	8	35	18	-	0.00	Rain
15	6	2	-1	3	-3	-8	100	70	42	1018	1015	1011	10	9	1	40	24	61	0.00	Rain , Snow
16	4	1	-2	0	-3	-5	100	83	56	1020	1019	1017	10	9	1	29	18	47	0.00	Snow
17	4	1	-2	1	-1	-4	100	85	70	1019	1019	1017	10	9	3	21	14	-	0.00	Rain , Snow
18	15	8	0	0	-2	-3	93	59	31	1019	1015	1010	10	10	10	32	16	43	0.00	 
19	6	3	0	3	-2	-7	93	70	45	1011	1010	1008	10	10	5	21	13	-	0.00	Rain , Snow
20	5	1	-2	-3	-6	-9	86	60	36	1016	1013	1010	10	10	10	32	8	50	0.00	Snow
21	7	1	-4	-6	-8	-11	80	48	27	1016	1014	1010	10	10	10	14	5	-	0.00	 
22	8	2	-3	-2	-6	-9	75	56	31	1013	1010	1008	10	10	10	26	6	43	0.00	 
23	9	4	-1	-2	-6	-9	81	51	30	1020	1017	1013	10	10	10	21	13	-	0.00	 
24	15	7	-1	-3	-5	-8	69	43	23	1021	1019	1017	-	-	-	26	14	43	0.00	 
25	17	11	6	4	-1	-4	71	49	24	1017	1016	1014	-	-	-	26	16	40	0.00	 
26	10	8	5	7	5	3	93	82	66	1016	1015	1014	10	8	3	14	6	-	0.00	Rain
27	12	7	3	8	6	2	100	84	67	1014	1011	1010	10	7	3	14	8	-	0.00	Rain
28	16	12	8	9	7	4	93	75	48	1015	1012	1008	10	10	8	29	16	43	0.00	Rain
29	14	11	9	8	7	6	87	75	59	1009	1006	1005	10	10	10	35	23	50	0.00	Rain
30	12	10	8	7	6	5	87	77	67	1023	1016	1009	10	10	8	29	19	47	0.00	Rain
1997	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
May	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	10	7	4	6	5	2	93	82	66	1029	1027	1023	10	9	4	18	14	-	0.00	Rain
2	20	12	4	7	5	2	93	65	35	1029	1026	1022	10	9	8	18	11	-	0.00	 
3	22	16	10	9	7	5	71	55	40	1021	1016	1012	10	10	10	26	16	40	0.00	 
4	19	14	9	11	9	6	87	70	52	1012	1009	1006	10	9	6	26	10	-	0.00	Rain
5	26	18	10	10	9	6	88	66	31	1006	999	992	10	10	10	47	16	84	0.00	Rain
6	23	16	9	10	7	4	88	66	33	997	992	984	10	10	8	40	18	55	0.00	Rain , Thunderstorm
7	8	6	4	5	2	-1	81	71	57	1006	1001	992	10	10	10	29	19	-	0.00	Rain
8	10	6	1	6	3	-1	93	79	70	1006	1003	1001	10	9	6	14	5	-	0.00	Rain
9	15	9	4	4	1	-2	81	58	36	1010	1006	1004	10	10	10	32	19	50	0.00	Rain
10	17	10	4	5	3	1	87	60	36	1017	1014	1010	10	10	10	35	16	64	0.00	Rain
11	23	14	7	7	4	1	71	49	23	1018	1017	1015	-	-	-	21	11	-	0.00	 
12	23	16	8	10	7	4	82	58	38	1022	1019	1015	-	-	-	18	6	-	0.00	 
13	21	16	12	13	11	9	94	74	53	1024	1023	1022	10	10	6	18	10	-	0.00	Rain , Thunderstorm
14	25	18	11	15	13	10	94	72	47	1023	1021	1019	10	6	2	11	6	-	0.00	Fog
15	27	20	13	15	12	9	88	59	37	1020	1019	1018	9	9	8	21	8	-	0.00	 
16	27	19	12	12	9	8	77	50	30	1019	1018	1016	-	-	-	26	10	47	0.00	 
17	28	20	13	12	10	7	82	51	28	1017	1016	1014	-	-	-	18	8	-	0.00	 
18	26	18	11	13	10	8	82	55	36	1015	1012	1008	10	10	10	18	10	-	0.00	 
19	23	18	14	13	11	8	88	65	41	1012	1010	1009	10	10	10	26	16	-	0.00	Rain , Thunderstorm
20	24	17	11	13	10	7	88	69	41	1009	1007	1005	10	10	7	21	8	-	0.00	Rain , Thunderstorm
21	17	13	10	12	8	7	88	71	52	1008	1007	1006	10	10	10	32	19	55	0.00	Rain
22	15	11	7	10	8	5	88	80	67	1014	1010	1007	10	10	6	26	14	-	0.00	Rain
23	15	11	7	8	6	4	87	75	58	1019	1016	1014	10	10	10	26	11	-	0.00	Rain
24	13	8	3	5	3	1	93	72	47	1027	1022	1020	10	10	10	29	10	-	0.00	Rain
25	15	8	2	3	0	-4	87	58	29	1030	1028	1025	10	10	10	43	10	35	0.00	 
26	16	9	3	5	2	-3	87	57	29	1025	1022	1018	10	10	10	18	6	-	0.00	Rain
27	14	11	8	6	5	2	87	70	47	1018	1016	1013	10	10	10	32	14	58	0.00	Rain
28	12	8	5	6	4	2	87	73	54	1025	1020	1015	10	10	10	29	18	50	0.00	Rain
29	16	10	4	5	2	-1	93	60	36	1027	1024	1020	10	10	10	21	10	-	0.00	Rain
30	13	10	7	6	3	2	87	67	54	1027	1023	1020	10	10	10	32	23	61	0.00	Rain
31	12	6	1	3	-1	-3	87	61	35	1026	1025	1023	10	10	10	29	16	40	0.00	 
1997	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jun	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	13	7	2	6	4	-1	93	74	58	1023	1019	1017	10	10	10	21	10	-	0.00	 
2	18	11	4	8	6	3	93	69	42	1018	1016	1015	10	7	0	21	11	40	0.00	Fog
3	19	12	6	8	5	2	87	62	35	1017	1015	1014	-	-	-	18	10	-	0.00	 
4	21	13	6	8	6	2	93	61	34	1018	1017	1017	10	8	7	14	11	-	0.00	 
5	22	14	8	8	6	3	82	56	29	1018	1014	1011	10	10	10	29	11	43	0.00	 
6	18	14	12	11	9	7	94	73	52	1017	1013	1010	10	9	5	32	18	47	0.00	Rain
7	24	14	6	11	8	5	94	62	29	1019	1018	1017	10	10	10	26	10	35	0.00	 
8	23	17	10	13	9	6	82	58	38	1018	1017	1016	10	10	10	18	13	-	0.00	Rain
9	24	18	12	12	9	8	88	59	36	1024	1022	1018	10	10	10	21	14	-	0.00	 
10	24	17	10	9	8	6	82	52	33	1024	1022	1019	10	10	10	21	6	-	0.00	 
11	27	18	9	10	8	5	82	52	32	1020	1015	1012	-	-	-	21	8	35	0.00	 
12	26	19	12	17	12	8	88	66	39	1012	1011	1009	10	10	9	18	6	-	0.00	Rain , Thunderstorm
13	26	19	13	14	12	9	94	64	36	1010	1008	1006	10	9	5	21	8	-	0.00	 
14	22	17	13	15	12	10	94	70	50	1010	1008	1007	10	10	10	26	10	-	0.00	Rain , Thunderstorm
15	20	17	13	13	11	9	88	70	49	1019	1015	1011	10	10	5	29	16	47	0.00	Rain
16	21	16	12	10	8	6	82	63	40	1020	1019	1018	10	10	10	26	8	32	0.00	 
17	17	13	11	9	7	5	82	69	48	1018	1017	1016	10	10	10	14	8	-	0.00	Rain
