2012	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
31	22	14	7	13	10	6	94	71	33	1020	1016	1011	31	12	10	24	10	-	0.00	Rain , Thunderstorm
2012	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jun	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	17	13	8	13	10	6	100	80	52	1016	1012	1009	14	10	10	40	24	53	1.02	Rain
2	18	12	6	7	6	4	100	67	38	1016	1014	1013	31	11	10	27	14	47	0.00	 
3	22	13	5	15	9	3	100	72	51	1014	1009	1003	26	10	4	27	10	29	0.00	Rain
4	17	14	12	15	12	11	100	84	60	1011	1009	1007	26	10	5	23	11	-	0.00	Rain
5	11	9	6	11	7	3	88	76	56	1019	1013	1008	26	10	10	32	18	45	0.00	Rain
6	17	10	2	11	6	1	94	71	42	1018	1013	1009	31	11	10	19	8	-	0.00	Rain
7	24	17	11	13	11	8	94	68	33	1011	1009	1005	26	12	10	23	14	-	0.00	 
8	25	19	14	15	14	10	88	75	46	1013	1009	1006	10	10	10	27	18	-	1.02	Rain
9	22	18	13	13	11	8	94	71	41	1016	1014	1013	10	10	10	27	19	-	0.00	 
10	15	12	9	13	11	9	100	88	72	1015	1012	1008	19	10	10	19	10	-	4.06	Rain
11	20	14	9	13	11	9	100	80	52	1008	1006	1004	19	11	10	19	8	-	0.51	Rain , Thunderstorm
12	21	15	9	13	12	9	100	83	46	1004	1003	1001	26	8	2	24	8	-	0.51	Rain , Thunderstorm
13	19	16	12	14	12	10	100	82	60	1015	1009	1003	31	11	10	26	16	-	0.25	Rain
14	14	12	10	13	11	9	100	90	71	1020	1018	1015	31	9	2	19	13	-	5.08	Rain
15	24	14	6	13	10	6	100	72	38	1022	1020	1017	14	8	2	14	6	-	0.00	Fog
16	31	22	12	17	14	11	88	62	28	1019	1017	1013	-	-	-	21	10	-	0.00	 
17	27	20	13	15	13	11	94	64	39	1024	1021	1017	10	10	10	42	18	61	0.00	 
18	32	22	12	20	15	11	88	63	27	1022	1017	1013	10	10	10	16	8	-	0.00	Thunderstorm
19	24	20	15	17	14	11	88	71	55	1022	1020	1016	31	11	10	19	14	-	1.02	Rain
20	29	22	16	21	17	14	94	77	46	1017	1014	1010	31	11	6	40	8	63	2.03	Rain , Thunderstorm
21	26	21	15	18	16	14	100	81	47	1013	1011	1009	31	11	10	23	13	-	0.00	Rain , Thunderstorm
22	25	19	12	15	12	8	100	67	30	1022	1017	1013	10	10	9	24	13	-	0.00	 
23	24	17	9	10	8	7	87	56	26	1025	1023	1022	10	10	10	24	11	-	0.00	 
24	27	18	10	11	9	7	88	52	20	1023	1017	1010	10	10	10	40	13	61	0.00	Rain
25	20	17	12	11	8	6	82	60	37	1017	1014	1012	10	10	10	39	24	53	0.00	Rain
26	20	14	9	9	8	7	94	67	40	1021	1019	1017	31	11	10	29	21	-	0.00	Rain
27	24	16	7	16	9	3	94	65	21	1023	1019	1015	31	11	6	26	14	40	0.25	Rain
28	27	21	14	16	14	12	100	70	40	1016	1014	1011	31	11	10	16	10	-	0.00	Rain
29	32	24	17	18	15	13	88	58	29	1014	1013	1009	31	17	10	19	10	-	0.00	 
30	32	24	17	20	18	16	88	64	33	1016	1013	1010	31	13	10	29	11	-	0.00	Rain
2012	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jul	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	28	22	16	18	16	13	100	68	38	1022	1016	1010	19	10	5	37	18	55	0.25	Rain , Thunderstorm
2	24	19	13	18	16	14	100	83	62	1022	1019	1014	26	10	3	37	14	55	18.03	Rain , Hail , Thunderstorm
3	24	20	16	19	17	15	100	91	69	1020	1017	1015	26	8	3	37	13	-	4.06	Rain , Thunderstorm
4	25	21	16	17	17	16	100	81	57	1018	1016	1013	31	9	4	14	10	-	0.00	Rain
